clip_id,scene,shot,clip_of,seconds,location,prompt
S17-17I-b,17,17I,2/2,5,Concord mind-space (LOC-05 restored),"MS, eye, centred, 40mm, locked-off, no camera movement. 'Then I'll take her, and afterwards she won't mind, and neither will you.' He sits back down. 'Give it two minutes. The market gets busy. It's the best part.'. Dev (58, South Indian man, tall and broad, grey beard, iron-grey hair swept back, LEFT eye brown and RIGHT eye crystalline white-blue, translucent crystal spreading from his left jaw down his neck, long plain charcoal coat, cracked bronze gorget, wedding band on a chain, barefoot). Setting: Concord mind-space (LOC-05 restored). eternal noon, sunlight, sea wind. Light: hard sun. Effect: crystallisation. Audio: the market ambience FADES BACK UP as he says it. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S17-17J,17,17J,1/1,6,Concord mind-space (LOC-05 restored),"CU, eye, handheld — the first movement in 90 seconds, 50mm, violent handheld. SMASH CUT: Arjun wakes in the bottom of a boat, grey rain, and vomits over the side. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: Concord mind-space (LOC-05 restored). eternal noon, sunlight, sea wind. Light: grey monsoon — the colour drains out of the film in one frame. Audio: rain at full volume, brutal after the silence. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18A-a,18,18A,1/2,5,LOC-10,"EWS aerial, drone, rising, 24mm, aerial rise over the roofs. THE RAIN STOPS. Low golden light floods forty rooftops; sixty kites go up; laundry snaps; pigeons burst off the coops. Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: low golden backlight through rain-haze — the only warm exterior in Acts I-II. Effect: kite crowd sim; haze volumetrics; pigeon sim. Audio: the score's only unambiguously joyful cue; kids shouting. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S18-18A-b,18,18A,2/2,5,LOC-10,"EWS aerial, drone, rising, 24mm, aerial rise over the roofs. THE RAIN STOPS. Low golden light floods forty rooftops; sixty kites go up; laundry snaps; pigeons burst off the coops. Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: low golden backlight through rain-haze — the only warm exterior in Acts I-II. Effect: kite crowd sim; haze volumetrics; pigeon sim. Audio: the score's only unambiguously joyful cue; kids shouting. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S18-18B-a,18,18B,1/2,5,LOC-10,"MS, low, on the water tank, 40mm, slow arc. Kira on the red water-tank flying the saffron kite one-handed and pulling a gold tether with the other — WEAVING the two. First time she uses her power for fun. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden backlight rimming her braids and the gold tether identically. Effect: tether + kite line interaction. Audio: line singing; the tether singing; they harmonise. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S18-18B-b,18,18B,2/2,4,LOC-10,"MS, low, on the water tank, 40mm, slow arc. Kira on the red water-tank flying the saffron kite one-handed and pulling a gold tether with the other — WEAVING the two. First time she uses her power for fun. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden backlight rimming her braids and the gold tether identically. Effect: tether + kite line interaction. Audio: line singing; the tether singing; they harmonise. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S18-18C,18,18C,1/1,6,LOC-10,"insert, overhead, 40mm macro, locked-off, no camera movement. The notebook, open on his knee: 'Kira — I need to tell you' / two crossed-out attempts beneath it. Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden. Audio: pencil stopping. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18D-a,18,18D,1/2,6,LOC-10,"MS 2-shot, eye, 50mm, handheld, gentle. 'You have two faces. Don't. Have the afternoon. It's eleven minutes.' He closes the notebook. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden, warm bounce off wet corrugated steel. Audio: kids, kites, distant city. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S18-18D-b,18,18D,2/2,5,LOC-10,"MS 2-shot, eye, 50mm, handheld, gentle. 'You have two faces. Don't. Have the afternoon. It's eleven minutes.' He closes the notebook. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden, warm bounce off wet corrugated steel. Audio: kids, kites, distant city. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S18-18E-a,18,18E,1/2,5,LOC-10,"CU, eye, 100mm, locked-off, no camera movement. 'She used to make the whole Corps drink water. Went round with a jug like we were children. She had a red thread on her wrist.'. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden key, deep warm shadow. Audio: the score's Amara motif, first appearance. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S18-18E-b,18,18E,2/2,5,LOC-10,"CU, eye, 100mm, locked-off, no camera movement. 'She used to make the whole Corps drink water. Went round with a jug like we were children. She had a red thread on her wrist.'. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden key, deep warm shadow. Audio: the score's Amara motif, first appearance. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S18-18F,18,18F,1/1,6,LOC-10,"CU, eye, 100mm, locked-off, no camera movement. Kira's hands go still on the line. 'I remember the thread.'. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden. Audio: the kite line stops singing. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18G,18,18G,1/1,8,LOC-10,"WS, low, 32mm, locked-off, no camera movement. THE GOLDEN LIGHT GOES OUT. Nine Hollow come up over all four roof edges. Walking. Sera Vance, dry in the haze, cracked left gauntlet. the Hollow (figures in bone-white hooded lacquer coats and smooth half-masks covering only nose to chin so their calm eyes stay bare — they only ever WALK, never run). Sera (29, pale Anglo-Indian woman, BOTH eyes mirrored chrome with no iris, platinum crown braid, no eyebrows, seamless bone-white lacquer armour with mirror-polished gauntlets). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: a cloud takes the sun on cue; the roof goes flat grey in two seconds. Effect: CG cloud shadow pass; mirror plates. Audio: the joyful cue stops mid-phrase. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18H,18,18H,1/1,6,LOC-10,"MS, eye, handheld, 40mm, snap handheld. Arjun anchors and throws a wall — Sera WALKS THROUGH ITS REFLECTION, mirror-plates flaring, and the wall's own energy hammers him across the roof into the pigeon coops. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Sera (29, pale Anglo-Indian woman, BOTH eyes mirrored chrome with no iris, platinum crown braid, no eyebrows, seamless bone-white lacquer armour with mirror-polished gauntlets). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: cyan flash, silver inversion, feathers everywhere. Effect: reflection inversion; pigeon sim; coop destruction. Audio: chime, reversed chime, an explosion of wings. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18I,18,18I,1/1,7,LOC-10,"WS, low, wide, 32mm, handheld arc. Kira fires six tethers; Sera copy-steps — three afterimages — three tethers bind nothing at all; the real Sera arrives inside her guard. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Sera (29, pale Anglo-Indian woman, BOTH eyes mirrored chrome with no iris, platinum crown braid, no eyebrows, seamless bone-white lacquer armour with mirror-polished gauntlets). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: gold tethers, grey roof. Effect: copy-step: three semi-transparent silver afterimages with a 6-frame delay, each landing one strike. Audio: three overlapping footfalls where there should be one. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18J,18,18J,1/1,5,LOC-10,"CU, eye, 85mm, locked-off, no camera movement. Two fingers on the girl's throat. 'It doesn't hurt. Doesn't hurt.'. Sera (29, pale Anglo-Indian woman, BOTH eyes mirrored chrome with no iris, platinum crown braid, no eyebrows, seamless bone-white lacquer armour with mirror-polished gauntlets). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: flat grey. Effect: chrome eyes. Audio: the echo. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18K,18,18K,1/1,7,LOC-10,"WS, high, 25mm, crane down. Arjun anchors: a hardlight FLOOR crystallises across the whole roof to trap her feet. Sera simply steps up onto the parapet. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Sera (29, pale Anglo-Indian woman, BOTH eyes mirrored chrome with no iris, platinum crown braid, no eyebrows, seamless bone-white lacquer armour with mirror-polished gauntlets). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: cyan from the floor lighting everyone from below. Effect: floor tessellation across 30x20m of corrugated roof. Audio: the chime, and then the anticlimax of it not working. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18L-a,18,18L,1/2,5,LOC-10,"MS, handheld, low, 40mm, violent handheld. Nine seconds: Kira on the sled, fighting, screaming; she gets ONE tether onto the red water-tank and holds — four seconds — the tank groaning, her palms burning. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: grey; gold tether the only colour. Effect: tether under extreme load with visible strain flicker; water tank deformation. Audio: steel groan; her scream; the tether's tone rising toward breaking. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S18-18L-b,18,18L,2/2,4,LOC-10,"MS, handheld, low, 40mm, violent handheld. Nine seconds: Kira on the sled, fighting, screaming; she gets ONE tether onto the red water-tank and holds — four seconds — the tank groaning, her palms burning. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: grey; gold tether the only colour. Effect: tether under extreme load with visible strain flicker; water tank deformation. Audio: steel groan; her scream; the tether's tone rising toward breaking. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S18-18M,18,18M,1/1,5,LOC-10,"CU, eye, 100mm, locked-off, no camera movement. Her eyes find his across the roof. 'ARJUN—' The tether SNAPS. Her palms open up. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: grey. Effect: tether snap-back; palm wound. Audio: the snap is the loudest single sound in Act II. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S18-18N-a,18,18N,1/2,6,LOC-10,"EWS, low, from the roof edge, 32mm, locked-off, no camera movement. THE FILM'S CRUELLEST IMAGE: Arjun throws a bastion after the departing sled — a perfect, useless wall of cyan light hanging over empty air, forty metres behind them. It cannot move. He holds it anyway until his nose bleeds and the light goes amber-orange and dies. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: cyan → amber-orange → grey. Effect: a beautifully rendered, completely pointless hardlight wall in empty sky. Audio: the chime sustaining, then souring, then decaying to nothing. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S18-18N-b,18,18N,2/2,6,LOC-10,"EWS, low, from the roof edge, 32mm, locked-off, no camera movement. THE FILM'S CRUELLEST IMAGE: Arjun throws a bastion after the departing sled — a perfect, useless wall of cyan light hanging over empty air, forty metres behind them. It cannot move. He holds it anyway until his nose bleeds and the light goes amber-orange and dies. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: cyan → amber-orange → grey. Effect: a beautifully rendered, completely pointless hardlight wall in empty sky. Audio: the chime sustaining, then souring, then decaying to nothing. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S18-18O-a,18,18O,1/2,5,LOC-10,"EWS aerial, drone, high, 24mm, slow rise. The golden light comes back for its last four minutes. The kites keep flying. It is obscene. Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden. Effect: kite sim. Audio: the joyful cue returns in a minor key. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S18-18O-b,18,18O,2/2,4,LOC-10,"EWS aerial, drone, high, 24mm, slow rise. The golden light comes back for its last four minutes. The kites keep flying. It is obscene. Setting: a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. golden monsoon break, 11 minutes, rain stopped, haze. Light: golden. Effect: kite sim. Audio: the joyful cue returns in a minor key. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S19-19A-a,19,19A,1/2,5,LOC-03 underside,"WS, low, cramped, 25mm, locked-off, no camera movement. Rain drumming on tarpaulin. A single bulb swinging. Arjun on the boat's floor, back against the hull, notebook open in both hands, reading his own handwriting like a foreign language. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: LOC-03 underside. night, rain. Light: one swinging 40W bulb — the light source physically moves, so the shadows do too. Audio: DIRECT SOUND DROPS OUT: heartbeat and a high thin tone only. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S19-19A-b,19,19A,2/2,4,LOC-03 underside,"WS, low, cramped, 25mm, locked-off, no camera movement. Rain drumming on tarpaulin. A single bulb swinging. Arjun on the boat's floor, back against the hull, notebook open in both hands, reading his own handwriting like a foreign language. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: LOC-03 underside. night, rain. Light: one swinging 40W bulb — the light source physically moves, so the shadows do too. Audio: DIRECT SOUND DROPS OUT: heartbeat and a high thin tone only. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S19-19B,19,19B,1/1,7,LOC-03 underside,"CU, eye, 85mm, locked-off, no camera movement. His face. The film's ONLY digital-artefact language: micro-stutters, a dropped frame at a name, a four-frame repeat. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: LOC-03 underside. night, rain. Light: swinging bulb. Effect: deliberate frame-level corruption: 1-frame drops, 4-frame repeats, no glitch clichés, no RGB split. Audio: the tone; a stutter in the room tone matching the picture. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S19-19C,19,19C,1/1,6,LOC-03 underside,"MS, eye, 50mm, handheld. Riya comes down the ladder soaked and sees his face. 'Arjun. Hey. Hey.'. Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: LOC-03 underside. night, rain. Light: bulb, rain-light from the hatch. Audio: direct sound snaps back on with her voice. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S19-19D,19,19D,1/1,6,LOC-03 underside,"CU, eye, 85mm, locked-off, no camera movement. He looks up, polite and pleasant and absolutely blank: 'I'm sorry — are you the doctor?'. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: LOC-03 underside. night, rain. Light: bulb. Audio: rain. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S19-19E,19,19E,1/1,6,LOC-03 underside,"CU, eye, 100mm, locked-off, no camera movement. Riya stops breathing. Then, carefully: 'It's Riya.'. Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Setting: LOC-03 underside. night, rain. Light: bulb, half her face out. Audio: nothing under it. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
